"Isolate_Id","Subtype","Submitting_Lab","Originating_Lab"
"EPI_ISL_18728172","A/H3N2","Balai Besar Laboratorium Biologi Kesehatan","Balai Besar Laboratorium Biologi Kesehatan"
"EPI_ISL_18728152","A/H3N2","Balai Besar Laboratorium Biologi Kesehatan","Balai Besar Laboratorium Biologi Kesehatan"
"EPI_ISL_18728181","A/H3N2","Balai Besar Laboratorium Biologi Kesehatan","Balai Besar Laboratorium Biologi Kesehatan"
"EPI_ISL_18728182","A/H3N2","Balai Besar Laboratorium Biologi Kesehatan","Balai Besar Laboratorium Biologi Kesehatan"
"EPI_ISL_18728173","A/H3N2","Balai Besar Laboratorium Biologi Kesehatan","Balai Besar Laboratorium Biologi Kesehatan"
"EPI_ISL_18728147","A/H3N2","Balai Besar Laboratorium Biologi Kesehatan","Balai Besar Laboratorium Biologi Kesehatan"
"EPI_ISL_18728153","A/H3N2","Balai Besar Laboratorium Biologi Kesehatan","Balai Besar Laboratorium Biologi Kesehatan"
"EPI_ISL_18728166","A/H3N2","Balai Besar Laboratorium Biologi Kesehatan","Balai Besar Laboratorium Biologi Kesehatan"
"EPI_ISL_18728170","A/H3N2","Balai Besar Laboratorium Biologi Kesehatan","Balai Besar Laboratorium Biologi Kesehatan"
"EPI_ISL_18728148","A/H3N2","Balai Besar Laboratorium Biologi Kesehatan","Balai Besar Laboratorium Biologi Kesehatan"
"EPI_ISL_18728146","A/H3N2","Balai Besar Laboratorium Biologi Kesehatan","Balai Besar Laboratorium Biologi Kesehatan"
"EPI_ISL_18728169","A/H3N2","Balai Besar Laboratorium Biologi Kesehatan","Balai Besar Laboratorium Biologi Kesehatan"
"EPI_ISL_16283441","A/H3N2","British Columbia Centre for Disease Control","B.C. Centre for Disease Control"
"KU729451","A/H3N2","British Columbia Centre for Disease Control, Clinical Trials",NA
"KU729469","A/H3N2","British Columbia Centre for Disease Control, Clinical Trials",NA
"KU729468","A/H3N2","British Columbia Centre for Disease Control, Clinical Trials",NA
"KU729449","A/H3N2","British Columbia Centre for Disease Control, Clinical Trials",NA
"KF598713","A/H3N2","British Columbia Centre for Disease Control, Virology",NA
"KF598711","A/H3N2","British Columbia Centre for Disease Control, Virology",NA
"KF598702","A/H3N2","British Columbia Centre for Disease Control, Virology",NA
"KF598706","A/H3N2","British Columbia Centre for Disease Control, Virology",NA
"KF598705","A/H3N2","British Columbia Centre for Disease Control, Virology",NA
"EPI_ISL_118756","A/H3N2","Cantacuzino Institute","Cantacuzino Institute"
"EPI_ISL_182184","A/H3N2","Cantacuzino Institute","Cantacuzino Institute"
"EPI_ISL_309575","A/H3N2","Cantacuzino Institute","Cantacuzino Institute"
"EPI_ISL_356534","A/H3N2","Cantacuzino Institute","Cantacuzino Institute"
"EPI_ISL_356533","A/H3N2","Cantacuzino Institute","Cantacuzino Institute"
"EPI_ISL_515567","A/H3N2","Cantacuzino Institute","Cantacuzino Institute"
"EPI_ISL_515507","A/H3N2","Cantacuzino Institute","Cantacuzino Institute"
"EPI_ISL_468322","A/H3N2","Cantacuzino Institute","Cantacuzino Institute"
"EPI_ISL_8837417","A/H3N2","Cantacuzino Institute","Cantacuzino Institute"
"EPI_ISL_8838404","A/H3N2","Cantacuzino Institute","Cantacuzino Institute"
"EPI_ISL_118758","A/H3N2","Cantacuzino Institute","Cantacuzino Institute"
"EPI_ISL_118771","A/H3N2","Cantacuzino Institute","Cantacuzino Institute"
"EPI_ISL_118762","A/H3N2","Cantacuzino Institute","Cantacuzino Institute"
"EPI_ISL_118764","A/H3N2","Cantacuzino Institute","Cantacuzino Institute"
"EPI_ISL_138642","A/H3N2","Cantacuzino Institute","Cantacuzino Institute"
"EPI_ISL_182169","A/H3N2","Cantacuzino Institute","Cantacuzino Institute"
"EPI_ISL_182181","A/H3N2","Cantacuzino Institute","Cantacuzino Institute"
"EPI_ISL_206670","A/H3N2","Cantacuzino Institute","Cantacuzino Institute"
"EPI_ISL_258060","A/H3N2","Cantacuzino Institute","Cantacuzino Institute"
"EPI_ISL_248479","A/H3N2","Cantacuzino Institute","Cantacuzino Institute"
"EPI_ISL_335683","A/H3N2","Cantacuzino Institute","Cantacuzino Institute"
"EPI_ISL_304963","A/H3N2","Cantacuzino Institute","Cantacuzino Institute"
"EPI_ISL_350694","A/H3N2","Cantacuzino Institute","Cantacuzino Institute"
"EPI_ISL_516795","A/H3N2","Cantacuzino Institute","Cantacuzino Institute"
"EPI_ISL_134079","A/H3N2","Cantacuzino Institute","Cantacuzino Institute"
"EPI_ISL_118759","A/H3N2","Cantacuzino Institute","Cantacuzino Institute"
"EPI_ISL_182190","A/H3N2","Cantacuzino Institute","Cantacuzino Institute"
"EPI_ISL_242278","A/H3N2","Cantacuzino Institute","Cantacuzino Institute"
"EPI_ISL_245517","A/H3N2","Cantacuzino Institute","Cantacuzino Institute"
"EPI_ISL_335723","A/H3N2","Cantacuzino Institute","Cantacuzino Institute"
"EPI_ISL_304961","A/H3N2","Cantacuzino Institute","Cantacuzino Institute"
"EPI_ISL_356529","A/H3N2","Cantacuzino Institute","Cantacuzino Institute"
"EPI_ISL_356532","A/H3N2","Cantacuzino Institute","Cantacuzino Institute"
"EPI_ISL_350729","A/H3N2","Cantacuzino Institute","Cantacuzino Institute"
"EPI_ISL_516796","A/H3N2","Cantacuzino Institute","Cantacuzino Institute"
"EPI_ISL_12512305","A/H3N2","Cantacuzino Institute","Cantacuzino Institute"
"EPI_ISL_12607360","A/H3N2","Cantacuzino Institute","Cantacuzino Institute"
"EPI_ISL_12647000","A/H3N2","Cantacuzino Institute","Cantacuzino Institute"
"EPI_ISL_12539697","A/H3N2","Cantacuzino Institute","Cantacuzino Institute"
"EPI_ISL_17633761","A/H3N2","Cantacuzino Institute","Cantacuzino National Military Medical Institute for Research and Development"
"EPI_ISL_17068939","A/H3N2","Cantacuzino Institute","Cantacuzino National Military Medical Institute for Research and Development"
"EPI_ISL_17069063","A/H3N2","Cantacuzino Institute","Cantacuzino National Military Medical Institute for Research and Development"
"EPI_ISL_17633822","A/H3N2","Cantacuzino Institute","Cantacuzino National Military Medical Institute for Research and Development"
"EPI_ISL_16855762","A/H3N2","Cantacuzino Institute","Cantacuzino National Military Medical Institute for Research and Development"
"EPI_ISL_17063749","A/H3N2","Cantacuzino Institute","Cantacuzino National Military Medical Institute for Research and Development"
"EPI_ISL_17637892","A/H3N2","Cantacuzino Institute","Cantacuzino National Military Medical Institute for Research and Development"
"EPI_ISL_144917","A/H3N2","Cantacuzino Institute",NA
"EPI_ISL_159433","A/H3N2","Cantacuzino Institute",NA
"EPI_ISL_157428","A/H3N2","Cantacuzino Institute",NA
"EPI_ISL_144916","A/H3N2","Cantacuzino Institute",NA
"KJ567654","A/H3N2","Center for Disease Control and Prevention in Zhongshan City, Virus Laboratory",NA
"KJ567656","A/H3N2","Center for Disease Control and Prevention in Zhongshan City, Virus Laboratory",NA
"KJ567657","A/H3N2","Center for Disease Control and Prevention in Zhongshan City, Virus Laboratory",NA
"KJ567658","A/H3N2","Center for Disease Control and Prevention in Zhongshan City, Virus Laboratory",NA
"KJ567659","A/H3N2","Center for Disease Control and Prevention in Zhongshan City, Virus Laboratory",NA
"OP913194","A/H3N2","Center for Research on Influenza Pathogenesis (CRIP), CEIRS Data Processing and Coordinating Center",NA
"OP390875","A/H3N2","Center for Research on Influenza Pathogenesis (CRIP), CEIRS Data Processing and Coordinating Center",NA
"EPI_ISL_85829","A/H3N2","Centers for Disease Control and Prevention","ADImmune Corporation"
"EPI_ISL_100448","A/H3N2","Centers for Disease Control and Prevention","ADImmune Corporation"
"EPI_ISL_132676","A/H3N2","Centers for Disease Control and Prevention","ADImmune Corporation"
"EPI_ISL_132667","A/H3N2","Centers for Disease Control and Prevention","ADImmune Corporation"
"EPI_ISL_211939","A/H3N2","Centers for Disease Control and Prevention","ADImmune Corporation"
"EPI_ISL_208594","A/H3N2","Centers for Disease Control and Prevention","ADImmune Corporation"
"EPI_ISL_249946","A/H3N2","Centers for Disease Control and Prevention","ADImmune Corporation"
"EPI_ISL_330516","A/H3N2","Centers for Disease Control and Prevention","ADImmune Corporation"
"EPI_ISL_330515","A/H3N2","Centers for Disease Control and Prevention","ADImmune Corporation"
"EPI_ISL_421125","A/H3N2","Centers for Disease Control and Prevention","ADImmune Corporation"
"EPI_ISL_424766","A/H3N2","Centers for Disease Control and Prevention","ADImmune Corporation"
"EPI_ISL_390119","A/H3N2","Centers for Disease Control and Prevention","ADImmune Corporation"
"EPI_ISL_421126","A/H3N2","Centers for Disease Control and Prevention","ADImmune Corporation"
"EPI_ISL_17403965","A/H3N2","Centers for Disease Control and Prevention","ADImmune Corporation"
"EPI_ISL_17403963","A/H3N2","Centers for Disease Control and Prevention","ADImmune Corporation"
"EPI_ISL_17403971","A/H3N2","Centers for Disease Control and Prevention","ADImmune Corporation"
"EPI_ISL_17403972","A/H3N2","Centers for Disease Control and Prevention","ADImmune Corporation"
"EPI_ISL_70208","A/H3N2","Centers for Disease Control and Prevention","ADImmune Corporation"
"EPI_ISL_94774","A/H3N2","Centers for Disease Control and Prevention","ADImmune Corporation"
"EPI_ISL_122134","A/H3N2","Centers for Disease Control and Prevention","ADImmune Corporation"
"EPI_ISL_207406","A/H3N2","Centers for Disease Control and Prevention","ADImmune Corporation"
"EPI_ISL_206149","A/H3N2","Centers for Disease Control and Prevention","ADImmune Corporation"
"EPI_ISL_344660","A/H3N2","Centers for Disease Control and Prevention","ADImmune Corporation"
"EPI_ISL_331199","A/H3N2","Centers for Disease Control and Prevention","ADImmune Corporation"
"EPI_ISL_362651","A/H3N2","Centers for Disease Control and Prevention","ADImmune Corporation"
"EPI_ISL_362647","A/H3N2","Centers for Disease Control and Prevention","ADImmune Corporation"
"EPI_ISL_330520","A/H3N2","Centers for Disease Control and Prevention","ADImmune Corporation"
"EPI_ISL_17403969","A/H3N2","Centers for Disease Control and Prevention","ADImmune Corporation"
"EPI_ISL_17403966","A/H3N2","Centers for Disease Control and Prevention","ADImmune Corporation"
"EPI_ISL_17403970","A/H3N2","Centers for Disease Control and Prevention","ADImmune Corporation"
"EPI_ISL_101596","A/H3N2","Centers for Disease Control and Prevention","ADPH Bureau of Clinical Laboratories"
"EPI_ISL_120861","A/H3N2","Centers for Disease Control and Prevention","ADPH Bureau of Clinical Laboratories"
"EPI_ISL_300798","A/H3N2","Centers for Disease Control and Prevention","ADPH Bureau of Clinical Laboratories"
"EPI_ISL_157095","A/H3N2","Centers for Disease Control and Prevention","Alaska State Public Health Laboratory"
"EPI_ISL_163460","A/H3N2","Centers for Disease Control and Prevention","Alaska State Virology Lab"
"EPI_ISL_203401","A/H3N2","Centers for Disease Control and Prevention","Alaska State Virology Lab"
"EPI_ISL_206137","A/H3N2","Centers for Disease Control and Prevention","Alaska State Virology Lab"
"EPI_ISL_197788","A/H3N2","Centers for Disease Control and Prevention","Alaska State Virology Lab"
"EPI_ISL_206140","A/H3N2","Centers for Disease Control and Prevention","Alaska State Virology Lab"
"EPI_ISL_169464","A/H3N2","Centers for Disease Control and Prevention","Alaska State Virology Lab"
"EPI_ISL_169471","A/H3N2","Centers for Disease Control and Prevention","Alaska State Virology Lab"
"EPI_ISL_206156","A/H3N2","Centers for Disease Control and Prevention","Alaska State Virology Lab"
"EPI_ISL_201217","A/H3N2","Centers for Disease Control and Prevention","Alaska State Virology Lab"
"EPI_ISL_235109","A/H3N2","Centers for Disease Control and Prevention","Alaska State Virology Lab"
"EPI_ISL_237381","A/H3N2","Centers for Disease Control and Prevention","Alaska State Virology Lab"
"EPI_ISL_277180","A/H3N2","Centers for Disease Control and Prevention","Alaska State Virology Lab"
"EPI_ISL_299932","A/H3N2","Centers for Disease Control and Prevention","Alaska State Virology Lab"
"EPI_ISL_257823","A/H3N2","Centers for Disease Control and Prevention","Alaska State Virology Lab"
"EPI_ISL_277175","A/H3N2","Centers for Disease Control and Prevention","Alaska State Virology Lab"
"EPI_ISL_312838","A/H3N2","Centers for Disease Control and Prevention","Alaska State Virology Lab"
"EPI_ISL_85820","A/H3N2","Centers for Disease Control and Prevention","Arizona Department of Health Services"
"EPI_ISL_16834774","A/H3N2","Centers for Disease Control and Prevention","Arizona Department of Health Services"
"EPI_ISL_107026","A/H3N2","Centers for Disease Control and Prevention","Arizona Department of Health Services"
"EPI_ISL_131828","A/H3N2","Centers for Disease Control and Prevention","Arizona Department of Health Services"
"EPI_ISL_203555","A/H3N2","Centers for Disease Control and Prevention","Arizona Department of Health Services"
"EPI_ISL_89757","A/H3N2","Centers for Disease Control and Prevention","Arkansas Department of Health"
"EPI_ISL_283203","A/H3N2","Centers for Disease Control and Prevention","Arkansas Department of Health"
"EPI_ISL_339680","A/H3N2","Centers for Disease Control and Prevention","Arkansas Department of Health"
"EPI_ISL_287545","A/H3N2","Centers for Disease Control and Prevention","Baylor Scott and White Health"
"EPI_ISL_287436","A/H3N2","Centers for Disease Control and Prevention","Baylor Scott and White Health"
"EPI_ISL_287413","A/H3N2","Centers for Disease Control and Prevention","Baylor Scott and White Health"
"EPI_ISL_287139","A/H3N2","Centers for Disease Control and Prevention","Baylor Scott and White Health"
"EPI_ISL_359016","A/H3N2","Centers for Disease Control and Prevention","Baylor Scott and White Health"
"EPI_ISL_359032","A/H3N2","Centers for Disease Control and Prevention","Baylor Scott and White Health"
"EPI_ISL_360429","A/H3N2","Centers for Disease Control and Prevention","Baylor Scott and White Health"
"EPI_ISL_287543","A/H3N2","Centers for Disease Control and Prevention","Baylor Scott and White Health"
"EPI_ISL_360393","A/H3N2","Centers for Disease Control and Prevention","Baylor Scott and White Health"
"EPI_ISL_380851","A/H3N2","Centers for Disease Control and Prevention","Baylor Scott and White Health"
"EPI_ISL_380873","A/H3N2","Centers for Disease Control and Prevention","Baylor Scott and White Health"
"EPI_ISL_135831","A/H3N2","Centers for Disease Control and Prevention","California Department of Health Services"
"EPI_ISL_194137","A/H3N2","Centers for Disease Control and Prevention","California Department of Health Services"
"EPI_ISL_244686","A/H3N2","Centers for Disease Control and Prevention","California Department of Health Services"
"EPI_ISL_240836","A/H3N2","Centers for Disease Control and Prevention","California Department of Health Services"
"EPI_ISL_394879","A/H3N2","Centers for Disease Control and Prevention","California Department of Health Services"
"EPI_ISL_412157","A/H3N2","Centers for Disease Control and Prevention","California Department of Health Services"
"EPI_ISL_9033797","A/H3N2","Centers for Disease Control and Prevention","California Department of Health Services"
"EPI_ISL_85616","A/H3N2","Centers for Disease Control and Prevention","California Department of Health Services"
"EPI_ISL_101594","A/H3N2","Centers for Disease Control and Prevention","California Department of Health Services"
"EPI_ISL_122005","A/H3N2","Centers for Disease Control and Prevention","California Department of Health Services"
"EPI_ISL_129402","A/H3N2","Centers for Disease Control and Prevention","California Department of Health Services"
"EPI_ISL_109746","A/H3N2","Centers for Disease Control and Prevention","California Department of Health Services"
"EPI_ISL_151813","A/H3N2","Centers for Disease Control and Prevention","California Department of Health Services"
"EPI_ISL_157076","A/H3N2","Centers for Disease Control and Prevention","California Department of Health Services"
"EPI_ISL_157081","A/H3N2","Centers for Disease Control and Prevention","California Department of Health Services"
"EPI_ISL_202078","A/H3N2","Centers for Disease Control and Prevention","California Department of Health Services"
"EPI_ISL_219202","A/H3N2","Centers for Disease Control and Prevention","California Department of Health Services"
"EPI_ISL_238741","A/H3N2","Centers for Disease Control and Prevention","California Department of Health Services"
"EPI_ISL_212969","A/H3N2","Centers for Disease Control and Prevention","California Department of Health Services"
"EPI_ISL_249016","A/H3N2","Centers for Disease Control and Prevention","California Department of Health Services"
"EPI_ISL_13284183","A/H3N2","Centers for Disease Control and Prevention","California Department of Health Services"
"EPI_ISL_12109604","A/H3N2","Centers for Disease Control and Prevention","California Department of Health Services"
"EPI_ISL_18108921","A/H3N2","Centers for Disease Control and Prevention","California Department of Health Services"
"EPI_ISL_98966","A/H3N2","Centers for Disease Control and Prevention","Caribbean Epidemiology Center"
"EPI_ISL_128986","A/H3N2","Centers for Disease Control and Prevention","Caribbean Epidemiology Center"
"EPI_ISL_84043","A/H3N2","Centers for Disease Control and Prevention","CENETROP"
"EPI_ISL_93770","A/H3N2","Centers for Disease Control and Prevention","CENETROP"
"EPI_ISL_146007","A/H3N2","Centers for Disease Control and Prevention","CENETROP"
"EPI_ISL_166291","A/H3N2","Centers for Disease Control and Prevention","CENETROP"
"EPI_ISL_165715","A/H3N2","Centers for Disease Control and Prevention","CENETROP"
"EPI_ISL_167913","A/H3N2","Centers for Disease Control and Prevention","CENETROP"
"EPI_ISL_165689","A/H3N2","Centers for Disease Control and Prevention","CENETROP"
"EPI_ISL_165706","A/H3N2","Centers for Disease Control and Prevention","CENETROP"
"EPI_ISL_238658","A/H3N2","Centers for Disease Control and Prevention","CENETROP"
"EPI_ISL_238657","A/H3N2","Centers for Disease Control and Prevention","CENETROP"
"EPI_ISL_281462","A/H3N2","Centers for Disease Control and Prevention","CENETROP"
"EPI_ISL_281457","A/H3N2","Centers for Disease Control and Prevention","CENETROP"
"EPI_ISL_281455","A/H3N2","Centers for Disease Control and Prevention","CENETROP"
"EPI_ISL_329849","A/H3N2","Centers for Disease Control and Prevention","CENETROP"
"EPI_ISL_365764","A/H3N2","Centers for Disease Control and Prevention","CENETROP"
"EPI_ISL_394920","A/H3N2","Centers for Disease Control and Prevention","CENETROP"
"EPI_ISL_166289","A/H3N2","Centers for Disease Control and Prevention","CENETROP"
"EPI_ISL_167911","A/H3N2","Centers for Disease Control and Prevention","CENETROP"
"EPI_ISL_167914","A/H3N2","Centers for Disease Control and Prevention","CENETROP"
"EPI_ISL_281464","A/H3N2","Centers for Disease Control and Prevention","CENETROP"
"EPI_ISL_281463","A/H3N2","Centers for Disease Control and Prevention","CENETROP"
"EPI_ISL_346040","A/H3N2","Centers for Disease Control and Prevention","CENETROP"
"EPI_ISL_329848","A/H3N2","Centers for Disease Control and Prevention","CENETROP"
"EPI_ISL_329845","A/H3N2","Centers for Disease Control and Prevention","CENETROP"
"EPI_ISL_366002","A/H3N2","Centers for Disease Control and Prevention","CENETROP"
"EPI_ISL_165725","A/H3N2","Centers for Disease Control and Prevention","CENETROP"
"EPI_ISL_281453","A/H3N2","Centers for Disease Control and Prevention","CENETROP"
"EPI_ISL_281451","A/H3N2","Centers for Disease Control and Prevention","CENETROP"
"EPI_ISL_331050","A/H3N2","Centers for Disease Control and Prevention","CENETROP"
"EPI_ISL_329838","A/H3N2","Centers for Disease Control and Prevention","CENETROP"
"EPI_ISL_393788","A/H3N2","Centers for Disease Control and Prevention","CENETROP"
"EPI_ISL_60745","A/H3N2","Centers for Disease Control and Prevention","Central Laboratory of Public Health"
"EPI_ISL_99023","A/H3N2","Centers for Disease Control and Prevention","Central Laboratory of Public Health"
"EPI_ISL_149684","A/H3N2","Centers for Disease Control and Prevention","Central Laboratory of Public Health"
"EPI_ISL_166843","A/H3N2","Centers for Disease Control and Prevention","Central Laboratory of Public Health"
"EPI_ISL_191036","A/H3N2","Centers for Disease Control and Prevention","Central Laboratory of Public Health"
"EPI_ISL_167947","A/H3N2","Centers for Disease Control and Prevention","Central Laboratory of Public Health"
"EPI_ISL_197274","A/H3N2","Centers for Disease Control and Prevention","Central Laboratory of Public Health"
"EPI_ISL_197277","A/H3N2","Centers for Disease Control and Prevention","Central Laboratory of Public Health"
"EPI_ISL_208603","A/H3N2","Centers for Disease Control and Prevention","Central Laboratory of Public Health"
"EPI_ISL_197276","A/H3N2","Centers for Disease Control and Prevention","Central Laboratory of Public Health"
"EPI_ISL_197275","A/H3N2","Centers for Disease Control and Prevention","Central Laboratory of Public Health"
"EPI_ISL_208607","A/H3N2","Centers for Disease Control and Prevention","Central Laboratory of Public Health"
"EPI_ISL_281547","A/H3N2","Centers for Disease Control and Prevention","Central Laboratory of Public Health"
"EPI_ISL_287722","A/H3N2","Centers for Disease Control and Prevention","Central Laboratory of Public Health"
"EPI_ISL_321878","A/H3N2","Centers for Disease Control and Prevention","Central Laboratory of Public Health"
"EPI_ISL_330924","A/H3N2","Centers for Disease Control and Prevention","Central Laboratory of Public Health"
"EPI_ISL_330977","A/H3N2","Centers for Disease Control and Prevention","Central Laboratory of Public Health"
"EPI_ISL_409379","A/H3N2","Centers for Disease Control and Prevention","Central Laboratory of Public Health"
"EPI_ISL_378079","A/H3N2","Centers for Disease Control and Prevention","Central Laboratory of Public Health"
"EPI_ISL_18090824","A/H3N2","Centers for Disease Control and Prevention","Central Laboratory of Public Health"
"EPI_ISL_18090825","A/H3N2","Centers for Disease Control and Prevention","Central Laboratory of Public Health"
"EPI_ISL_172529","A/H3N2","Centers for Disease Control and Prevention","Central Laboratory of Public Health"
"EPI_ISL_167948","A/H3N2","Centers for Disease Control and Prevention","Central Laboratory of Public Health"
"EPI_ISL_208605","A/H3N2","Centers for Disease Control and Prevention","Central Laboratory of Public Health"
"EPI_ISL_281727","A/H3N2","Centers for Disease Control and Prevention","Central Laboratory of Public Health"
"EPI_ISL_330921","A/H3N2","Centers for Disease Control and Prevention","Central Laboratory of Public Health"
"EPI_ISL_331079","A/H3N2","Centers for Disease Control and Prevention","Central Laboratory of Public Health"
"EPI_ISL_378075","A/H3N2","Centers for Disease Control and Prevention","Central Laboratory of Public Health"
"EPI_ISL_378080","A/H3N2","Centers for Disease Control and Prevention","Central Laboratory of Public Health"
"EPI_ISL_378078","A/H3N2","Centers for Disease Control and Prevention","Central Laboratory of Public Health"
"EPI_ISL_378077","A/H3N2","Centers for Disease Control and Prevention","Central Laboratory of Public Health"
"EPI_ISL_171388","A/H3N2","Centers for Disease Control and Prevention","Central Laboratory of Public Health"
"EPI_ISL_172771","A/H3N2","Centers for Disease Control and Prevention","Central Laboratory of Public Health"
"EPI_ISL_330913","A/H3N2","Centers for Disease Control and Prevention","Central Laboratory of Public Health"
"EPI_ISL_393771","A/H3N2","Centers for Disease Control and Prevention","Central Laboratory, Bureau of Public Health"
"EPI_ISL_18303939","A/H3N2","Centers for Disease Control and Prevention","Central Laboratory, Bureau of Public Health"
"EPI_ISL_368195","A/H3N2","Centers for Disease Control and Prevention","Central Laboratory, Bureau of Public Health"
"EPI_ISL_394936","A/H3N2","Centers for Disease Control and Prevention","Central Laboratory, Bureau of Public Health"
"EPI_ISL_18303940","A/H3N2","Centers for Disease Control and Prevention","Central Laboratory, Bureau of Public Health"
"EPI_ISL_395105","A/H3N2","Centers for Disease Control and Prevention","Central Laboratory, Bureau of Public Health"
"EPI_ISL_18303936","A/H3N2","Centers for Disease Control and Prevention","Central Laboratory, Bureau of Public Health"
"EPI_ISL_289399","A/H3N2","Centers for Disease Control and Prevention","Children's Hospital of Pittsburgh UPMC"
"EPI_ISL_289211","A/H3N2","Centers for Disease Control and Prevention","Children's Hospital of Pittsburgh UPMC"
"EPI_ISL_289446","A/H3N2","Centers for Disease Control and Prevention","Children's Hospital of Pittsburgh UPMC"
"EPI_ISL_289328","A/H3N2","Centers for Disease Control and Prevention","Children's Hospital of Pittsburgh UPMC"
"EPI_ISL_289449","A/H3N2","Centers for Disease Control and Prevention","Children's Hospital of Pittsburgh UPMC"
"EPI_ISL_358343","A/H3N2","Centers for Disease Control and Prevention","Children's Hospital of Pittsburgh UPMC"
"EPI_ISL_289391","A/H3N2","Centers for Disease Control and Prevention","Children's Hospital of Pittsburgh UPMC"
"EPI_ISL_361736","A/H3N2","Centers for Disease Control and Prevention","Children's Hospital of Pittsburgh UPMC"
"EPI_ISL_361805","A/H3N2","Centers for Disease Control and Prevention","Children's Hospital of Pittsburgh UPMC"
